"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL26",3.57352432381432e-80,-0.481586211665803,0.244,0.457,7.80958005726381e-76,"Delta","RPL26"
"PTGES3",4.83698620496207e-80,-0.340624063767202,0.024,0.136,1.05707496523241e-75,"Delta","PTGES3"
"PFDN5",5.76384612714377e-80,-0.303875924446943,0.033,0.152,1.259630932626e-75,"Delta","PFDN5"
"SYT7",1.20389320875702e-79,-0.50117144641779,0.033,0.152,2.63098821841759e-75,"Delta","SYT7"
"FOS",1.48059027460453e-79,-0.540058222184265,0.056,0.192,3.23568198612073e-75,"Delta","FOS"
"VDAC2",2.47889443389864e-79,-0.368911743516155,0.018,0.124,5.41737589584209e-75,"Delta","VDAC2"
"ELOB",6.36998540756781e-79,-0.366375603751309,0.016,0.119,1.39209661096987e-74,"Delta","ELOB"
"NSA2",8.32480170687237e-79,-0.318108194561352,0.033,0.152,1.81930216501989e-74,"Delta","NSA2"
"ATP5F1B",8.38623323627461e-79,-0.276020604739021,0.051,0.183,1.83272741145545e-74,"Delta","ATP5F1B"
"BRK1",1.17478091900222e-78,-0.29175262205447,0.046,0.174,2.56736622038746e-74,"Delta","BRK1"
"KDELR2",3.46672565487692e-78,-0.334575125161938,0.038,0.16,7.57618224616802e-74,"Delta","KDELR2"
"RPLP2",1.05205652851006e-77,-0.459859084717147,0.173,0.37,2.29916433740589e-73,"Delta","RPLP2"
"COX8A",1.0764948536807e-77,-0.258162406333163,0.087,0.242,2.3525718532338e-73,"Delta","COX8A"
"HNRNPA2B1",1.79043062877436e-77,-0.312894361895706,0.053,0.185,3.91280709612349e-73,"Delta","HNRNPA2B1"
"RPS5",1.80695608263078e-77,-0.381186762916038,0.18,0.382,3.94892182298131e-73,"Delta","RPS5"
"AHCYL1",4.29389657890302e-77,-0.267877280157084,0.079,0.228,9.38388158353465e-73,"Delta","AHCYL1"
"EIF4A1",5.39861280659552e-77,-0.266927218525245,0.048,0.174,1.17981284275338e-72,"Delta","EIF4A1"
"TMEM59",9.60618084248246e-77,-0.274551406104103,0.111,0.279,2.09933476131612e-72,"Delta","TMEM59"
"HSPA8",1.55957783613934e-76,-0.274053939398763,0.077,0.225,3.40830140309892e-72,"Delta","HSPA8"
"EIF4A2",2.5369009690089e-76,-0.276694315117454,0.111,0.279,5.54414337767205e-72,"Delta","EIF4A2"
"SDHC",2.79169639945688e-76,-0.390998174851844,0.038,0.153,6.10097331137307e-72,"Delta","SDHC"
"NONO",3.60487366625106e-76,-0.306378862942035,0.037,0.155,7.87809091022507e-72,"Delta","NONO"
"CALR",3.91570799307633e-76,-0.263664934213937,0.087,0.242,8.55738824806901e-72,"Delta","CALR"
"PPA1",7.15765386109024e-76,-0.276980366050046,0.014,0.114,1.56423367480266e-71,"Delta","PPA1"
"RPL6",1.11654329419818e-75,-0.48483030016134,0.295,0.484,2.44009371514071e-71,"Delta","RPL6"
"GNAI2",1.2120542235093e-75,-0.315860719088988,0.029,0.141,2.64882330005723e-71,"Delta","GNAI2"
"SPCS1",1.22994369811436e-75,-0.312313094836278,0.039,0.157,2.68791895785911e-71,"Delta","SPCS1"
"UBL5",1.84342652766801e-75,-0.291494889448096,0.074,0.218,4.02862433356566e-71,"Delta","UBL5"
"MCL1",1.90865247155575e-75,-0.408409988352777,0.041,0.162,4.17116911133793e-71,"Delta","MCL1"
"UQCR10",2.68528313660578e-75,-0.330758563982747,0.021,0.126,5.86841776673827e-71,"Delta","UQCR10"
"DUSP1",3.19094327819012e-75,-0.589154853733956,0.016,0.115,6.97348744015668e-71,"Delta","DUSP1"
"ATP5F1A",6.86800483884728e-75,-0.275537665228803,0.059,0.191,1.50093377748169e-70,"Delta","ATP5F1A"
"PLD3",7.32394174629751e-75,-0.255639521404103,0.056,0.187,1.60057422923586e-70,"Delta","PLD3"
"RPL10A",7.89631552115932e-75,-0.501027106548888,0.229,0.415,1.72566079399416e-70,"Delta","RPL10A"
"FAM184B",8.3040467973669e-75,-0.272180511827689,0.042,0.163,1.81476638709656e-70,"Delta","FAM184B"
"ACADVL",1.17315091424638e-74,-0.329145882211147,0.031,0.143,2.56380400799405e-70,"Delta","ACADVL"
"JUN",1.50655773158699e-74,-0.531275705246497,0.079,0.223,3.29243126661021e-70,"Delta","JUN"
"GAS5",1.53549894802596e-74,-0.371400611256771,0.034,0.148,3.35567940101594e-70,"Delta","GAS5"
"ATP5IF1",1.6436626476113e-74,-0.330510311480795,0.019,0.121,3.59206035008973e-70,"Delta","ATP5IF1"
"SNHG6",1.86937625054413e-74,-0.26781857087917,0.023,0.128,4.08533485793914e-70,"Delta","SNHG6"
"TGOLN2",2.27687540967741e-74,-0.28199608736704,0.038,0.156,4.97588352030902e-70,"Delta","TGOLN2"
"HSP90AB1",3.71282189825307e-74,-0.353224713124643,0.147,0.329,8.11400097644225e-70,"Delta","HSP90AB1"
"CTNNA1",5.46039712449501e-74,-0.33892528672129,0.017,0.116,1.19331518758714e-69,"Delta","CTNNA1"
"BRI3",6.07576195730645e-74,-0.353354129511456,0.021,0.124,1.32779701814975e-69,"Delta","BRI3"
"MORF4L2",7.1240590414326e-74,-0.277538339226185,0.032,0.144,1.55689186291468e-69,"Delta","MORF4L2"
"TMSB4X",8.42394178415054e-74,-0.699894830995488,0.236,0.417,1.84096823750826e-69,"Delta","TMSB4X"
"SERP1",9.19969141539189e-74,-0.285606443827411,0.055,0.184,2.01050056191974e-69,"Delta","SERP1"
"ATP5F1D",1.11835593656129e-73,-0.397101600034914,0.024,0.126,2.44405506376105e-69,"Delta","ATP5F1D"
"TPM4",1.4149948885831e-73,-0.497332127628925,0.025,0.131,3.09232982950952e-69,"Delta","TPM4"
"LPP",3.0428386440932e-73,-0.397019463406142,0.054,0.176,6.64981957280129e-69,"Delta","LPP"
"MARCKS",3.65851768827131e-73,-0.423051457049398,0.045,0.166,7.99532455594812e-69,"Delta","MARCKS"
"PRDX2",3.94126398266014e-73,-0.30828002160151,0.015,0.112,8.61323830770547e-69,"Delta","PRDX2"
"PTMS",4.75692117380994e-73,-0.387697783482637,0.015,0.111,1.03957755332442e-68,"Delta","PTMS"
"BTG1",7.02736653200291e-73,-0.35505736193633,0.126,0.294,1.53576068190392e-68,"Delta","BTG1"
"SARAF",9.89268542183821e-73,-0.273745275259911,0.095,0.247,2.16194747208852e-68,"Delta","SARAF"
"IFIT3",1.18418446783819e-72,-0.540842259627586,0.031,0.139,2.58791673601357e-68,"Delta","IFIT3"
"SLC7A2",1.55977656674722e-72,-0.390872962146873,0.037,0.151,3.40873570896937e-68,"Delta","SLC7A2"
"SEC11A",1.60060070128319e-72,-0.279830615305846,0.034,0.146,3.49795277258429e-68,"Delta","SEC11A"
